state,rate
California,11.2
New York,8.7
Texas,12.4
Florida,14.8
Illinois,9.6
Pennsylvania,9.2
Ohio,9.8
Michigan,10.5
Georgia,13.2
North Carolina,12.1
Virginia,9.4
Washington,8.9
Arizona,12.8
Massachusetts,7.6
Tennessee,13.4
Indiana,10.2
Missouri,11.8
Maryland,9.9
Wisconsin,8.4
Colorado,10.1
Minnesota,7.8
South Carolina,14.2
Alabama,13.8
Louisiana,15.6
Kentucky,12.4
Oregon,9.2
Oklahoma,13.1
Connecticut,8.4
Iowa,8.6
Mississippi,14.8
Arkansas,12.9
Kansas,11.2
Utah,9.8
Nevada,11.6
New Mexico,13.2
Nebraska,9.4
Idaho,9.8
West Virginia,11.2
Hawaii,7.8
Maine,7.2
New Hampshire,7.6
Rhode Island,8.8
Montana,11.4
Delaware,11.8
South Dakota,9.2
North Dakota,8.8
Alaska,10.2
Vermont,7.4
Wyoming,12.2
